id	A	B	label
p0	t1,t8	t2,t3,t4,t5,t6,t7,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25	1
p1	t9,t10	t1,t2,t3,t4,t5,t6,t7,t8,OUT,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25	1
p2	t11,t20	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25	1
p3	t16,t17	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t18,t19,t20,t21,t22,t23,t24,t25	1
p4	t18,t24	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t19,t20,t21,t22,t23,t25	1
p5	t3,t22	t1,t2,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t23,t24,t25	1
p6	t4,t25	t1,t2,t3,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24	1
p7	t9,t10,t13	t1,t2,t3,t4,t5,t6,t7,t8,OUT,t11,t12,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25	1
p8	t2,t11,t20	t1,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25	1
p9	t16,t17,t21	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t18,t19,t20,t22,t23,t24,t25	1
p10	t1,t4,t8,t25	t2,t3,t5,t6,t7,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24	1
p11	t9,t10,t13,t14	t1,t2,t3,t4,t5,t6,t7,t8,OUT,t11,t12,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25	1
p12	t2,t11,t15,t20	t1,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t12,t13,t14,t16,t17,t18,t19,t21,t22,t23,t24,t25	1
p13	t1,t4,t8,t18,t24,t25	t2,t3,t5,t6,t7,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t19,t20,t21,t22,t23	1
p14	t3,t5,t6,t7,t12,t19,t22,t23	t1,t2,t4,t8,t9,OUT,t10,t11,t13,t14,t15,t16,t17,t18,t20,t21,t24,t25	1
p15	t1,t4,t8,t16,t17,t18,t21,t24,t25	t2,t3,t5,t6,t7,t9,OUT,t10,t11,t12,t13,t14,t15,t19,t20,t22,t23	1
p16	t3,t5,t6,t7,t9,t10,t12,t13,t14,t19,t22,t23	t1,t2,t4,t8,OUT,t11,t15,t16,t17,t18,t20,t21,t24,t25	1
p17	t1,t2,t4,t8,t11,t15,t16,t17,t18,t20,t21,t24,t25	t3,t5,t6,t7,t9,OUT,t10,t12,t13,t14,t19,t22,t23	1
n0	t1,t4,t25	t2,t3,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24	0
n1	t1,t4,t8,t18,t25	t2,t3,t5,t6,t7,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t19,t20,t21,t22,t23,t24	0
n2	t3,t16,t22	t1,t2,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t17,t18,t19,t20,t21,t23,t24,t25	0
n3	t3,t5,t7,t9,t10,t12,t13,t14,t19,t22,t23	t1,t2,t4,t6,t8,OUT,t11,t15,t16,t17,t18,t20,t21,t24,t25	0
n4	t3,t5,t6,t7,t9,t10,t11,t12,t13,t14,t19,t22,t23	t1,t2,t4,t8,OUT,t15,t16,t17,t18,t20,t21,t24,t25	0
n5	t1,t2,t4,t8,t11,t15,t16,t17,t20,t21,t24,t25	t3,t5,t6,t7,t9,OUT,t10,t12,t13,t14,t18,t19,t22,t23	0
n6	t1,t2,t4,t8,t10,t11,t15,t16,t17,t18,t20,t21,t24,t25	t3,t5,t6,t7,t9,OUT,t12,t13,t14,t19,t22,t23	0
n7	t17,t21	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t18,t19,t20,t22,t23,t24,t25	0
n8	t1,t16,t17,t21	t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t18,t19,t20,t22,t23,t24,t25	0
n9	t1,t6,t8	t2,t3,t4,t5,t7,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25	0
n10	t1,t4,t16,t17,t18,t21,t24,t25	t2,t3,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t19,t20,t22,t23	0
n11	t1,t4,t8,t10,t16,t17,t18,t21,t24,t25	t2,t3,t5,t6,t7,t9,OUT,t11,t12,t13,t14,t15,t19,t20,t22,t23	0
n12	t3,t5,t7,t12,t19,t22,t23	t1,t2,t4,t6,t8,t9,OUT,t10,t11,t13,t14,t15,t16,t17,t18,t20,t21,t24,t25	0
n13	t3,t5,t6,t7,t12,t16,t19,t22,t23	t1,t2,t4,t8,t9,OUT,t10,t11,t13,t14,t15,t17,t18,t20,t21,t24,t25	0
n14	t16,t17,t23	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t18,t19,t20,t21,t22,t24,t25	0
n15	t9,t10,t14	t1,t2,t3,t4,t5,t6,t7,t8,OUT,t11,t12,t13,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25	0
n16	t9,t10,t13,t14,t25	t1,t2,t3,t4,t5,t6,t7,t8,OUT,t11,t12,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24	0
n17	t1,t4,t8,t18,t24	t2,t3,t5,t6,t7,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t19,t20,t21,t22,t23,t25	0
n18	t1,t4,t7,t8,t18,t24,t25	t2,t3,t5,t6,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t19,t20,t21,t22,t23	0
n19	t2,t11,t15,t20,t23	t1,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t12,t13,t14,t16,t17,t18,t19,t21,t22,t24,t25	0
n20	t9,t13	t1,t2,t3,t4,t5,t6,t7,t8,OUT,t10,t11,t12,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25	0
n21	t8,t9,t10,t13	t1,t2,t3,t4,t5,t6,t7,OUT,t11,t12,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25	0
n22	t9,t10,t17	t1,t2,t3,t4,t5,t6,t7,t8,OUT,t11,t12,t13,t14,t15,t16,t18,t19,t20,t21,t22,t23,t24,t25	0
n23	t2,t11,t19,t20	t1,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t12,t13,t14,t15,t16,t17,t18,t21,t22,t23,t24,t25	0
n24	t1,t11,t20	t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25	0
