id	A	B	label
p0	t1,t9	t2,t3,t4,t5,t6,t7,t8,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	1
p1	t2,t10	t1,t3,t4,t5,t6,t7,t8,t9,OUT,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	1
p2	t11,t22	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t12,t13,t14,t15,t16,t17,t18,t19,t21,t23,t24,t25,t26	1
p3	t13,t18	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t14,t15,t16,t17,t19,t21,t22,t23,t24,t25,t26	1
p4	t15,t17	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t16,t18,t19,t21,t22,t23,t24,t25,t26	1
p5	t16,t24	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t17,t18,t19,t21,t22,t23,t25,t26	1
p6	t19,t21	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t22,t23,t24,t25,t26	1
p7	t23,t25	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t24,t26	1
p8	t3,t6	t1,t2,t4,t5,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	1
p9	t7,t8	t1,t2,t3,t4,t5,t6,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	1
p10	t2,t4,t10	t1,t3,t5,t6,t7,t8,t9,OUT,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	1
p11	t11,t22,t26	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t12,t13,t14,t15,t16,t17,t18,t19,t21,t23,t24,t25	1
